round	loss	test_accuracy	macro_f1	macro_precision	macro_recall	macro_auroc	avg_client_train_time
1	0.886	0.688	0.464	0.586	0.509	0.904	4.280
2	0.851	0.778	0.651	0.737	0.659	0.922	4.270
3	0.744	0.824	0.724	0.766	0.732	0.945	4.550
4	0.711	0.840	0.751	0.786	0.760	0.956	4.320
5	0.712	0.851	0.766	0.791	0.777	0.960	4.520
6	0.604	0.871	0.796	0.812	0.807	0.969	4.560
7	0.581	0.881	0.811	0.827	0.824	0.972	5.070
8	0.579	0.881	0.813	0.832	0.825	0.974	4.610
9	0.558	0.888	0.823	0.840	0.834	0.976	5.280
10	0.596	0.886	0.821	0.838	0.831	0.976	4.580
11	0.534	0.896	0.835	0.844	0.844	0.978	4.880
12	0.503	0.910	0.856	0.867	0.862	0.980	4.760
13	0.521	0.907	0.851	0.863	0.855	0.980	4.850
14	0.565	0.904	0.846	0.855	0.856	0.977	4.600
15	0.546	0.910	0.854	0.862	0.863	0.979	4.700
16	0.559	0.905	0.848	0.855	0.858	0.980	4.760
17	0.531	0.913	0.861	0.867	0.868	0.981	4.870
18	0.529	0.915	0.862	0.869	0.868	0.981	4.780
19	0.517	0.914	0.860	0.865	0.868	0.982	4.760
20	0.512	0.915	0.861	0.864	0.869	0.983	4.760
