round	loss	test_accuracy	macro_f1	macro_precision	macro_recall	macro_auroc	avg_client_train_time
1	0.725	0.598	0.715	0.586	0.922	0.98	0.820891808
2	0.8	0.704	0.79	0.695	0.95	0.96	0.653199021
3	0.835	0.752	0.824	0.748	0.962	0.98	0.55342638
4	0.846	0.768	0.825	0.769	0.965	0.81	0.529917265
5	0.849	0.775	0.809	0.779	0.967	0.85	0.520581444
6	0.854	0.785	0.812	0.791	0.968	0.86	0.517565732
7	0.858	0.792	0.813	0.798	0.969	0.86	0.525345838
8	0.864	0.801	0.819	0.807	0.97	0.74	0.51146663
9	0.874	0.815	0.83	0.821	0.972	0.75	0.493430523
10	0.877	0.818	0.83	0.825	0.973	0.8	0.494936993
11	0.877	0.819	0.83	0.825	0.974	0.74	0.490633328
12	0.881	0.824	0.834	0.83	0.974	0.75	0.492381929
13	0.883	0.827	0.836	0.834	0.975	0.7	0.492660757
14	0.886	0.831	0.839	0.837	0.976	0.81	0.488526736
15	0.886	0.832	0.838	0.839	0.975	0.76	0.497380022
16	0.889	0.837	0.842	0.844	0.976	0.74	0.494871754
17	0.892	0.841	0.847	0.848	0.977	0.71	0.486352042
18	0.896	0.846	0.852	0.852	0.977	0.9	0.489283787
19	0.895	0.845	0.85	0.851	0.977	0.87	0.500952918
20	0.897	0.847	0.852	0.854	0.978	0.72	0.491673133
